time,Aroon Down,Aroon Up
2025-01-31 19:55,55.4000,93.2000
2025-01-31 19:50,55.6000,93.4000
2025-01-31 19:45,55.8000,93.6000
2025-01-31 19:40,56.0000,93.8000
2025-01-31 19:35,56.2000,94.0000
2025-01-31 19:30,56.4000,94.2000
2025-01-31 19:25,56.6000,94.4000
2025-01-31 19:20,56.8000,94.6000
2025-01-31 19:15,57.0000,94.8000
2025-01-31 19:10,57.2000,95.0000
2025-01-31 19:05,57.4000,95.2000
2025-01-31 19:00,57.6000,95.4000
2025-01-31 18:55,57.8000,95.6000
2025-01-31 18:50,58.0000,95.8000
2025-01-31 18:45,58.2000,96.0000
2025-01-31 18:40,0.0000,96.2000
2025-01-31 18:35,0.2000,96.4000
2025-01-31 18:30,0.4000,96.6000
2025-01-31 18:25,0.6000,96.8000
2025-01-31 18:20,0.8000,97.0000
2025-01-31 18:15,1.0000,97.2000
2025-01-31 18:10,1.2000,97.4000
2025-01-31 18:05,1.4000,97.6000
2025-01-31 18:00,1.6000,97.8000
2025-01-31 17:55,1.8000,98.0000
2025-01-31 17:50,2.0000,98.2000
2025-01-31 17:45,2.2000,98.4000
2025-01-31 17:40,2.4000,98.6000
2025-01-31 17:35,2.6000,98.8000
2025-01-31 17:30,2.8000,99.0000
2025-01-31 17:25,3.0000,99.2000
2025-01-31 17:20,3.2000,99.4000
2025-01-31 17:15,3.4000,99.6000
2025-01-31 17:10,3.6000,99.8000
2025-01-31 17:05,3.8000,100.0000
2025-01-31 17:00,4.0000,1.6000
2025-01-31 16:55,4.2000,1.8000
2025-01-31 16:50,4.4000,2.0000
2025-01-31 16:45,4.6000,2.2000
2025-01-31 16:40,4.8000,2.4000
2025-01-31 16:35,5.0000,2.6000
2025-01-31 16:30,5.2000,2.8000
2025-01-31 16:25,5.4000,3.0000
2025-01-31 16:20,5.6000,3.2000
2025-01-31 16:15,5.8000,3.4000
2025-01-31 16:10,6.0000,3.6000
2025-01-31 16:05,6.2000,3.8000
2025-01-31 16:00,6.4000,4.0000
2025-01-31 15:55,6.6000,4.2000
2025-01-31 15:50,6.8000,4.4000
2025-01-31 15:45,7.0000,4.6000
2025-01-31 15:40,7.2000,4.8000
2025-01-31 15:35,7.4000,5.0000
2025-01-31 15:30,7.6000,5.2000
2025-01-31 15:25,7.8000,5.4000
2025-01-31 15:20,8.0000,5.6000
2025-01-31 15:15,8.2000,5.8000
2025-01-31 15:10,8.4000,6.0000
2025-01-31 15:05,8.6000,6.2000
2025-01-31 15:00,8.8000,6.4000
2025-01-31 14:55,9.0000,6.6000
2025-01-31 14:50,9.2000,6.8000
2025-01-31 14:45,9.4000,7.0000
2025-01-31 14:40,9.6000,7.2000
2025-01-31 14:35,9.8000,7.4000
2025-01-31 14:30,10.0000,7.6000
2025-01-31 14:25,10.2000,7.8000
2025-01-31 14:20,10.4000,8.0000
2025-01-31 14:15,10.6000,8.2000
2025-01-31 14:10,10.8000,8.4000
2025-01-31 14:05,11.0000,8.6000
2025-01-31 14:00,11.2000,8.8000
2025-01-31 13:55,11.4000,9.0000
2025-01-31 13:50,11.6000,9.2000
2025-01-31 13:45,11.8000,9.4000
2025-01-31 13:40,12.0000,9.6000
2025-01-31 13:35,12.2000,9.8000
2025-01-31 13:30,12.4000,10.0000
2025-01-31 13:25,12.6000,10.2000
2025-01-31 13:20,12.8000,10.4000
2025-01-31 13:15,13.0000,10.6000
2025-01-31 13:10,13.2000,10.8000
2025-01-31 13:05,13.4000,11.0000
2025-01-31 13:00,13.6000,11.2000
2025-01-31 12:55,13.8000,11.4000
2025-01-31 12:50,14.0000,11.6000
2025-01-31 12:45,14.2000,11.8000
2025-01-31 12:40,14.4000,12.0000
2025-01-31 12:35,14.6000,12.2000
2025-01-31 12:30,14.8000,12.4000
2025-01-31 12:25,15.0000,12.6000
2025-01-31 12:20,15.2000,12.8000
2025-01-31 12:15,15.4000,13.0000
